StimeSec,isrushhour,isnight,SLONCOL,SLATCOL,ELONCOL,ELATCOL,dtdis,distance,interval
59580,0,0,39,25,39,22,3.0,15263.08853616318,4541
64131,0,0,39,22,39,31,9.0,9679.7811545002,1480
66859,1,0,42,26,43,31,5.0990195135927845,3551.275471290185,1004
67873,1,0,43,31,37,29,6.324555320336759,4540.380945849195,1517
69401,1,0,37,29,40,30,3.1622776601683795,3114.339928501984,917
70328,1,0,40,30,37,16,14.317821063276353,9916.419611407242,2873
73211,0,0,37,16,34,12,5.0,3574.078823789989,837
74058,0,0,34,12,37,16,5.0,3151.912222756669,729
74797,0,0,37,16,36,12,4.123105625617661,3152.075375795672,639
75493,0,0,36,12,34,10,2.8284271247461903,1856.5290675041056,598
76101,0,0,34,10,28,11,6.082762530298219,5871.153195698556,907
77018,0,0,28,11,34,15,7.211102550927978,4219.165445339711,910
77938,0,0,34,15,43,32,19.235384061671343,12973.05420168365,1775
82881,0,1,44,27,43,31,4.123105625617661,4262.90152258554,667
83635,0,1,43,31,36,53,23.08679276123039,14787.67099649432,1247
898,0,1,58,39,74,22,23.345235059857504,15905.196257682615,2492
5243,0,1,75,19,78,25,6.708203932499369,3898.7586666161233,1038
6320,0,1,78,26,74,26,4.0,2859.300212301012,629
6980,0,1,74,26,76,22,4.47213595499958,3961.1029106204464,1361
40149,0,0,78,37,75,21,16.278820596099706,9482.576721652586,1438
45862,0,0,73,22,75,32,10.198039027185569,6602.745189510288,1527
49893,0,0,63,20,69,22,6.324555320336759,4049.262642757714,896
50821,0,0,69,22,78,27,10.295630140987,8554.242731022856,2330
53192,0,0,78,27,75,28,3.1622776601683795,2760.164705385116,568
54803,0,0,68,25,55,42,21.400934559032695,14721.361855497087,2544
57384,0,0,54,42,59,23,19.6468827043885,13063.50560995736,1506
58896,0,0,59,23,72,23,13.0,6334.943253769247,2112
28263,1,0,53,22,75,24,22.090722034374522,14114.843745307033,2871
31162,1,0,75,24,64,19,12.083045973594572,8776.646305318556,1149
39333,0,0,41,21,34,21,7.0,3485.3306698839506,723
40100,0,0,34,21,37,41,20.223748416156685,11867.781767141189,2909
43056,0,0,37,41,33,20,21.37755832643195,12591.365164052226,1605
49144,0,0,37,12,35,21,9.219544457292887,5861.461163810554,928
51933,0,0,21,38,21,27,11.0,7013.465508995975,1322
53297,0,0,21,27,59,23,38.2099463490856,23654.06859718717,2620
55960,0,0,59,22,57,22,2.0,3050.9715420666844,790
57254,0,0,55,19,74,19,19.0,15256.45716136288,2958
62714,0,0,30,15,27,15,3.0,2792.154027546648,836
64755,0,0,32,15,43,19,11.704699910719626,7048.618554390328,940
66057,1,0,43,21,59,17,16.492422502470642,19541.316689222705,3419
69507,1,0,59,17,76,26,19.235384061671343,18291.360391013342,3102
72652,0,0,76,26,76,20,6.0,3520.7059704955445,1163
73843,0,0,75,20,80,40,20.615528128088304,20499.119723497097,2954
81529,0,0,60,17,75,21,15.524174696260024,9749.434175847387,1056
82635,0,0,75,21,65,16,11.180339887498949,7488.528701878,1506
85187,0,1,76,21,67,19,9.219544457292887,4649.871975363341,818
381,0,1,79,36,72,37,7.0710678118654755,3890.3845767484254,766
1667,0,1,78,38,74,35,5.0,3252.272701924328,830
2517,0,1,74,35,75,37,2.23606797749979,1966.7107244440035,490
3019,0,1,75,37,74,37,1.0,2225.901361020145,528
3568,0,1,73,37,72,38,1.4142135623730951,2426.093911074677,459
4050,0,1,72,38,74,38,2.0,6192.590631164077,996
9603,0,1,78,34,78,38,4.0,3656.589956986992,994
11913,0,1,74,36,74,34,2.0,6077.428672576918,1084
27281,1,0,77,36,73,46,10.770329614269007,6900.054435895772,1255
28562,1,0,73,46,81,37,12.041594578792296,7004.8103921599,1594
30157,1,0,81,37,74,33,8.06225774829855,5161.386647039446,959
31129,1,0,74,33,76,42,9.219544457292887,8315.56413759311,1277
32430,0,0,76,42,75,45,3.1622776601683795,1951.5547959494704,648
33092,0,0,75,45,75,39,6.0,4444.0807422922335,784
35060,0,0,80,37,76,33,5.656854249492381,3795.14810685676,766
36281,0,0,75,35,82,40,8.602325267042627,5592.372043203578,745
39246,0,0,79,35,79,37,2.0,2319.261750193537,690
40431,0,0,78,36,74,34,4.47213595499958,2898.4668412205533,555
40986,0,0,74,34,73,40,6.082762530298219,3597.317557208582,900
47271,0,0,83,38,64,37,19.026297590440446,13710.71723677034,1305
48590,0,0,64,37,76,37,12.0,7994.079283825768,1065
51828,0,0,79,37,76,36,3.1622776601683795,2152.084839183354,407
52256,0,0,76,36,84,37,8.06225774829855,5165.733226288679,789
54548,0,0,79,35,80,37,2.23606797749979,1503.1229813258255,297
54846,0,0,80,37,81,39,2.23606797749979,3359.4601545196774,1049
55897,0,0,81,39,88,42,7.615773105863909,5717.001098923489,1000
56903,0,0,88,42,75,39,13.341664064126334,6782.330314336435,1273
58182,0,0,75,39,76,42,3.1622776601683795,2638.400664842706,534
58728,0,0,76,42,75,39,3.1622776601683795,3722.319819052777,528
59272,0,0,75,39,75,35,4.0,3395.289552697815,524
59797,0,0,75,35,74,34,1.4142135623730951,1210.2658155437025,299
60101,0,0,74,34,77,35,3.1622776601683795,4169.490147542353,1075
61177,0,0,77,35,68,40,10.295630140987,7369.723926328172,1779
64235,0,0,65,45,51,63,22.80350850198276,21953.809684674052,2951
67196,1,0,51,63,63,61,12.165525060596439,10174.42325572623,1850
